date time, L, E0 equiv, E1 equiv, E2 equiv, P6 equiv
2018-12-31 07:21:10.048000, 4.24, 12.559213792573837, 8.984649628798943, 2.595820860051698, 0.11603432195576875
2018-12-31 07:21:11.048000, 4.26, 13.521234014720381, 10.190454212986344, 3.521908338352661, 0.2256282239872745
2018-12-31 07:21:12.048000, 4.28, 11.306272393434972, 8.478208368312, 2.881086711623338, 0.17784963236100496
2018-12-31 07:21:13.048000, 4.3, 17.036142390447043, 12.375647970716846, 3.7727677708858467, 0.18649518550712357
2018-12-31 07:21:14.048000, 4.32, 14.571138041558683, 10.652238962549136, 3.319495866753732, 0.17126682584917746
2018-12-31 07:21:15.048000, 4.34, 20.50428164831067, 14.668417111365159, 4.237959708475688, 0.18943864301909114
2018-12-31 07:21:16.048000, 4.36, 18.955780116707185, 14.023240395493463, 4.552016562444053, 0.2550071910745949
2018-12-31 07:21:17.048000, 4.37, 18.879597696671503, 13.865206595348745, 4.389425625555008, 0.23368704542328347
2018-12-31 07:21:18.048000, 4.39, 17.12078451087075, 12.535459876107637, 3.927200322058911, 0.20476517743421158
2018-12-31 07:21:19.048000, 4.41, 18.31228759987766, 13.05285952960429, 3.7232061427442957, 0.16261263484584448
2018-12-31 07:21:20.048000, 4.43, 20.24967829355464, 14.710072523332698, 4.484426807771293, 0.2216738639102763
2018-12-31 07:21:21.048000, 4.46, 19.496182274010906, 14.483800090078613, 4.769308473457601, 0.27525488635533135
2018-12-31 07:21:22.048000, 4.48, 15.673583510095826, 11.544926825772183, 3.6923376259981393, 0.20066146135479102
2018-12-31 07:21:23.048000, 4.5, 13.400348181756145, 10.253468185935075, 3.724971877573484, 0.26756074666934004
2018-12-31 07:21:24.048000, 4.52, 17.364920940235706, 12.261083331659913, 3.3819738272897744, 0.13919263351570163
2018-12-31 07:21:25.048000, 4.54, 15.605575813993578, 11.477874022130457, 3.6523360434401013, 0.1964627152469644
2018-12-31 07:21:26.048000, 4.56, 18.060695486494684, 12.920316803153197, 3.7329032585308486, 0.1668623999429145
2018-12-31 07:21:27.048000, 4.58, 12.850635763412708, 9.350187834147066, 2.8664353847358486, 0.14323346230252287
2018-12-31 07:21:28.048000, 4.6, 14.830316495340316, 10.551437239632328, 2.990104475396839, 0.129072878335126
2018-12-31 07:21:29.048000, 4.62, 12.073263260407138, 8.812429133422436, 2.731407604018138, 0.1394393573310896
2018-12-31 07:21:30.048000, 4.65, 14.726798918700105, 10.418512086819486, 2.8936090321694063, 0.12053531609472776
2018-12-31 07:21:31.048000, 4.67, 10.380514651824193, 7.452411707028148, 2.1801613416510786, 0.09971027983155263
2018-12-31 07:21:32.048000, 4.69, 12.026812338323419, 8.603778611925943, 2.485780627940811, 0.11111547569894809
2018-12-31 07:21:33.048000, 4.71, 11.132805411174164, 8.033892581989507, 2.39323930999961, 0.11321353113059009
2018-12-31 07:21:34.048000, 4.74, 11.756225323291728, 8.284614459264606, 2.269238319232761, 0.09227031777704237
2018-12-31 07:21:35.048000, 4.76, 10.224838185475871, 7.314676708663487, 2.1133367654116544, 0.0944670729835552
2018-12-31 07:21:36.048000, 4.78, 11.729538522030737, 8.298092446242121, 2.304689484652989, 0.0960034588102501
2018-12-31 07:21:37.048000, 4.81, 11.73925932860855, 8.634204933730507, 2.747461579131265, 0.1477886359450192
2018-12-31 07:21:38.048000, 4.83, 14.147621784574122, 10.027945367363586, 2.804134046798353, 0.11821328943869869
2018-12-31 07:21:39.048000, 4.86, 14.782898890475556, 10.773249366868065, 3.320992917030706, 0.1677389676478462
2018-12-31 07:21:40.048000, 4.88, 16.04470898562443, 11.636482342713458, 3.52738897940734, 0.17247841915775053
2018-12-31 07:21:41.048000, 4.91, 16.179023164810193, 11.96903159920187, 3.8852097332291318, 0.21765220034139854
2018-12-31 07:21:42.048000, 4.93, 19.896025487028954, 14.760353733260038, 4.83750944857055, 0.27645155443185077
